info,rating_num,title
怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
一部美国近现代史。,9.4,阿甘正传
最美的谎言。,9.5,美丽人生
失去的才是永恒的。 ,9.3,泰坦尼克号
最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
诺兰给了我们一场无法盗取的梦。,9.3,盗梦空间
永远都不能忘记你所爱的人。,9.3,忠犬八公的故事
小瓦力，大人生。,9.3,机器人总动员
英俊版憨豆，高情商版谢耳朵。,9.2,三傻大闹宝莱坞
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,海上钢琴师
天籁一般的童声，是最接近上帝的存在。 ,9.3,放牛班的春天
如果再也不能见到你，祝你早安，午安，晚安。,9.2,楚门的世界
一生所爱。,9.2,大话西游之大圣娶亲
爱是一种力量，让我们超越时空感知它的存在。,9.2,星际穿越
人人心中都有个龙猫，童年就永远不会消失。,9.2,龙猫
千万不要记恨你的对手，这样会让你失去理智。,9.2,教父
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,熔炉
香港电影史上永不过时的杰作。,9.1,无间道
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,疯狂动物城
平民励志片。 ,9.0,当幸福来敲门
真正的幸福是来自内心深处。,9.0,怦然心动
满满温情的高雅喜剧。,9.2,触不可及
Tomorrow is another day.,9.2,乱世佳人
无尽的黑暗。,9.1,蝙蝠侠：黑暗骑士
张艺谋最好的电影。,9.2,活着
瑰丽壮观、无人能及的冒险之旅。,9.0,少年派的奇幻漂流
比利·怀德满分作品。,9.6,控方证人
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,天堂电影院
对敌人的仁慈，就是对自己残忍。,9.2,鬼子来了
史诗的终章。,9.1,指环王3：王者无敌
1957年的理想主义。 ,9.4,十二怒汉
对天空的追逐，永不停止。 ,9.1,天空之城
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1,摔跤吧！爸爸
最后那些最无聊的事情，才是最值得怀念的。 ,8.9,飞屋环游记
旷古烁今。,8.9,大话西游之月光宝盒
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,搏击俱乐部
爱情哪怕只有一天。,9.0,罗马假日
带着心爱的人在天空飞翔。,9.0,哈尔的移动城堡
史上最美的探戈。,9.0,闻香识女人
电影的现实意义大过电影本身。,9.2,辩护人
别样人生。,9.1,窃听风暴
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,两杆大烟枪
